Sr..No.,Date,Field.Code,Species,Location.encountered,Collection.Time,Depth.Caught..Fathoms.,Gear.Type,Fishing.Location,Fishing.Substrate,Fishing.Net.Type,Fishing.Target.Species,Boat.Name.Owner,Fishing.Trip.Start,Fishing.Trip.End,No..of.Hauls,Average.Haul.Duration..Hours.,Net.Catch..kg.,Condition.at.encounter..D.A.,Gut.Content,Blood,Plasma.Volume,Plasma.Color,Scale,Stress.hormone,Injured,Survival.Experiment,Condition.after.24.hrs..D.A.,Dissected,Snout.to.Vent..cm.,Body.Length..cm.,Tail.Length..cm.,Head.Length..cm.,Head.Width..cm.,Snout.to.Nose..cm.,Nose.to.Eye..cm.,Gape..cm.,Neck.Circumference..cm.,Body.Circumference..cm.,Weight..g.,Sex,Gravid,Photo.No.,Remarks,Month,Year,Depth.Caught..m.,Class
62,16-01-2018,HSDB16,Hydrophis schistosus,Dandi,NA,7.5,GillNet,,,Pelagic,,Santosh,NA,NA,1,NA,NA,Alive,,,NA,,,,,,,,61.8,70.8,9,NA,NA,NA,NA,NA,NA,NA,205,Female,,,,January,2018,14.025,Adult
63,17-01-2018,HSDB20,Hydrophis schistosus,Dandi,NA,2,GillNet,,,Pelagic,,Om Namashivay 2,NA,NA,1,NA,NA,Alive,,,NA,,,,,Yes,Alive,,1,12.6,11.6,NA,NA,NA,NA,NA,NA,NA,295,Male,,,,January,2018,3.74,Neonate
64,17-01-2018,HSDB21,Hydrophis schistosus,Dandi,NA,9,GillNet,,,Pelagic,,Sudhikrupa,NA,NA,1,NA,NA,Alive,,,NA,,,,,Yes,Alive,,75.5,85,9.5,NA,NA,NA,NA,NA,NA,NA,505,Female,Yes,,Gravid,January,2018,16.83,Adult
65,17-01-2018,HSDB22,Hydrophis schistosus,Dandi,NA,3,GillNet,,,Pelagic,,Mahalaxmi,NA,NA,1,NA,NA,Alive,,,NA,,,,,Yes,Alive,,72,82,10,NA,NA,NA,NA,NA,NA,NA,515,Female,Yes,,"Grvaid, Hematose cloaca",January,2018,5.61,Adult
66,17-01-2018,HSDB23,Hydrophis schistosus,Dandi,NA,5,GillNet,,,Pelagic,,Krushnai 6,NA,NA,1,NA,NA,Alive,,Yes,NA,,,,,Yes,Alive,,67.5,77.8,10.3,NA,NA,NA,NA,NA,NA,NA,505,Male,,,,January,2018,9.35,Adult
67,17-01-2018,HSDB24,Hydrophis schistosus,Dandi,NA,4,GillNet,,,Pelagic,,Chavandeshwari,NA,NA,1,NA,NA,Alive,,,NA,,,,,Yes,Alive,,62.5,72,9.5,NA,NA,NA,NA,NA,NA,NA,335,Female,,,,January,2018,7.48,Adult
68,17-01-2018,HSMT03,Hydrophis schistosus,Malvan,NA,11,Trawler,,,,Prawns,Shreepad Valab 01,NA,NA,3,2.5,NA,Alive,,,NA,,,,,Yes,Dead,Yes,134.2,146.2,12,2.724,1.418,0.917,0.56,2.633,1.097,2.815,1180,Female,Yes,,"Gravid - 21 embryos, preserved",January,2018,20.57,Adult
69,18-01-2018,HSDB25,Hydrophis schistosus,Dandi,NA,4,GillNet,,,Pelagic,Lizard Fish,Bhadrakali,NA,NA,1,NA,NA,Alive,,,NA,,,,,Yes,Alive,,59.5,69,9.5,NA,NA,NA,NA,NA,NA,NA,240,Female,,,,January,2018,7.48,Juvenile
70,18-01-2018,HSDB26,Hydrophis schistosus,Dandi,NA,6,GillNet,,,Pelagic,Indian Oil Sardine,Durgadevi,NA,NA,1,NA,NA,Alive,,,NA,,,,,Yes,Alive,,70.5,83,12.5,NA,NA,NA,NA,NA,NA,NA,375,Male,,,Unsucessful blood draw,January,2018,11.22,Adult
71,18-01-2018,HSDB27,Hydrophis schistosus,Dandi,NA,5,GillNet,,,Pelagic,Indian Oil Sardine,Jizani,NA,NA,1,NA,NA,Alive,Yes,,NA,,,,,Yes,Alive,,59,69.5,10.5,NA,NA,NA,NA,NA,NA,NA,220,Male,,,,January,2018,9.35,Juvenile
72,18-01-2018,HSDB28,Hydrophis schistosus,Dandi,NA,6.5,GillNet,,,Pelagic,,Shravani,NA,NA,1,NA,NA,Dead,Yes,,NA,,,,Yes,,,Yes,88.2,101.4,13.2,2.271,1.071,0.493,0.274,1.959,0.559,1.548,420,Male,,,"Oozing blood and feces, ",January,2018,12.155,Adult
73,18-01-2018,HSDB30,Hydrophis schistosus,Dandi,NA,2,GillNet,,,Pelagic,,Pavnaidatt,NA,NA,1,NA,NA,Alive,,,NA,,,,,Yes,Alive,,79.5,89.7,10.2,NA,NA,NA,NA,NA,NA,NA,500,Female,Yes,,Gravid?,January,2018,3.74,Adult
74,18-01-2018,HSDB29,Hydrophis schistosus,Dandi,NA,2,GillNet,,,Pelagic,,Pavnaidatt,NA,NA,1,NA,NA,Dead,Yes,,NA,,,,,,,Yes,69.7,80.3,10.6,1.97,1.046,0.497,0.197,1.481,0.482,1.367,310,Male,,,Bloated puffer in gut - Cause of Death?,January,2018,3.74,Adult
75,19-01-2018,HSDB31,Hydrophis schistosus,Dandi,NA,4,GillNet,,,Pelagic,,Yakshini Prasann,NA,NA,1,NA,NA,Alive,,,NA,,,,Yes,Yes,Alive,,92.3,105.3,13,NA,NA,NA,NA,NA,NA,NA,595,Male,,,"Injury behind head, swollen head and neck",January,2018,7.48,Adult
76,20-01-2018,HSDB32,Hydrophis schistosus,Dandi,NA,5.5,GillNet,,,Pelagic,,Heramb 3,NA,NA,1,NA,NA,Alive,Yes,,NA,,,,Yes,Yes,Dead,Yes,64.4,75.5,11.1,1.803,1.021,0.2,0.475,1.351,0.536,1.276,315,Male,,,"Head injury, bleeding",January,2018,10.285,Adult
