Sr. No.,Date,Field Code,GC Code,Source,Snake Species,Local/ Common Name,Prey Family,Prey Species,Abundance,Specimen,Tissue,Condition,Standard Length (cm),Tail Length (cm),Maximum Body Girth (cm),Weight (g),Depth caught (wav),Depth caught (m),Photo No.,Location,Remarks
47,01-01-2018,HCDB05,HCDB05.2,Gut content,Hydrophis curtus,Indian oil sardine,Clupeidae,Sardinella sp.,,,,1,,,,,,,,Malvan,Regurgitated on board
48,04-01-2018,HSDB03,HSDB03,Gut content,Hydrophis schistosus,Largescaled terapon,Teraponidae,Terapon theraps,,,Yes,2,11,2.7,3.6,30,,,,Malvan,Regurgitated in captivity
49,04-01-2018,HSMT02,HSMT02,Gut content,Hydrophis schistosus,Mantis Shrimp,Unidentified,Unidentified,,Yes,,1,1.5,5,1.41,4,,,,Malvan,
50,05-01-2018,HSDB05,HSDB05,Gut content,Hydrophis schistosus,Unidentified,Unidentified,Unidentified,,,,3,,,,,,,SD IMG101228,Malvan,
51,11-01-2018,HCMT18,HCMT18,Gut content,Hydrophis curtus,Unidentified,Unidentified,Unidentified,,,,4,,,,,,,SD IMG 200517,Malvan,
52,17-01-2018,HSDB23,HSDB23,Gut content,Hydrophis schistosus,Terapon,Teraponidae,Terapon sp.,,,Yes,2,11.5,2.6,4.5,39,,,,Malvan,
53,18-01-2018,HSDB27,HSDB27,Gut content,Hydrophis schistosus,Unidentified,Unidentified,Unidentified,,,,4,,,,,,,,Malvan,Piece of tail fin
54,18-01-2018,HSDB28,HSDB28,Gut content,Hydrophis schistosus,Eel,Unidentified,Unidentified,,,Yes,5,,,,,,,,Malvan,Elongate digested mass
55,18-01-2018,HSDB29,HSDB29.1,Gut content,Hydrophis schistosus,Pufferfish,Tetrodontidae,Arothron sp.,,,,3,10.2,2.3,,14,,,TG ,Malvan,
56,18-01-2018,HSDB29,HSDB29.2,Gut content,Hydrophis schistosus,Pufferfish,Tetrodontidae,Arothron sp.,,,Yes,1,8.3,2,4.3,24,,,TG,Malvan,Puffed up in gut
57,20-01-2018,HSDB32,HSDB32,Gut content,Hydrophis schistosus,Spiny Cheeked Grouper,Serranidae,Epinephelus diacanthus,,,,3,15.5,2.5,4.5,50,,,,Malvan,
58,20-01-2018,HSDB41,HSDB41,Gut content,Hydrophis schistosus,Unidentified,Unidentified,Unidentified,,,,3,8.4,2,2.3,6,,,SD IMG 193951,Malvan,
59,20-01-2018,HSDB44,HSDB44,Gut content,Hydrophis schistosus,Spiny Cheeked Grouper,Serranidae,Epinephelus diacanthus,,,Yes,2,14.8,2.5,4.9,61,,,SD IMG 192382,Malvan,
60,21-01-2018,HSDB51,HSDB51,Gut content,Hydrophis schistosus,Eeltailed Catfish,Plotosidae,Plotosus sp.,,,Yes,3,17,1.5,3,18,,,TG IMG 5445,Malvan,
61,22-01-2018,HSDB57,HSDB57,Gut content,Hydrophis schistosus,Smallscaled terapon,Teraponidae,Terapon puta,,,Yes,3,7.5,1.8,3.7,22,,,,Malvan,Half fish
62,23-01-2018,HSDB63,HSDB63,Gut content,Hydrophis schistosus,Unidentified,Unidentified,Unidentified,,,,5,,,,,,,,Malvan,Mass of digested bones and feces
63,23-01-2018,HSDB69,HSDB69,Gut content,Hydrophis schistosus,Unidentified,Unidentified,Unidentified,,,,3,,,2.2,12,,,SD IMG 170401,Malvan,Half fish
64,27-01-2018,HSDB76,HSDB76.1,Gut content,Hydrophis schistosus,Unidentified,Unidentified,Unidentified,,,,3,14,2.5,1.8,13,,,SD IMG 201243,Malvan,Half fish
65,27-01-2018,HSDB76,HSDB76.2,Gut content,Hydrophis schistosus,Unidentified,Unidentified,Unidentified,,,,3,,2.9,1.5,9,,,SD IMG 201257,Malvan,Half fish
66,27-01-2018,HSDB77,HSDB77,Gut content,Hydrophis schistosus,Right eye flounder,Pleuronectidae,Unidentified,,,Yes,2,8.6,3,1.5,7,,,SD IMG 201318,Malvan,
67,27-01-2018,HSDB79,HSDB79,Gut content,Hydrophis schistosus,Unidentified,Unidentified,Unidentified,,,,3,,0.8,3,4,,,SD IMG 201309,Malvan,
68,02-02-2018,HSDB85,HSDB85.1,Gut content,Hydrophis schistosus,Sardine,Clupeidae,Sardinella sp.,,,Yes,1,16.3,3.2,4.3,57,,,TG IMG 113931685,Malvan,Undigested
69,02-02-2018,HSDB85,HSDB85.2,Gut content,Hydrophis schistosus,Sardine,Clupeidae,Sardinella sp.,,,,2,14.2,3.2,3.5,36,,,TG IMG 113931685,Malvan,Anterior half partly digested
70,02-02-2018,HSDB87,HSDB87,Gut content,Hydrophis schistosus,Unidentified,Unidentified,Unidentified,,,,3,8.4,3.7,3.3,16,,,TG IMG 114446994,Malvan,Half fish
71,02-02-2018,HSDB90,HSDB90,Gut content,Hydrophis schistosus,Sardine,Clupeidae,Unidentified,,,,,14.9,3.2,4.2,38,,,TG IMG 113504439,Malvan,Maybe Sardinella sp.
72,03-02-2018,,HSMT06-17,Gut content,Hydrophis schistosus,Eeltailed Catfish,Plotosidae,Plotosus sp.,,,,3,13.5,1.4,3.5,16,,,TG IMG 195358225,Malvan,Half fish
73,03-02-2018,,HSMT06-17,Gut content,Hydrophis schistosus,Smooth blassop pufferfish,Tetrodontidae,Lagocephalus inermis,,,,3,9.5,2.3,3,15,,,TG IMG 195608315,Malvan,Max girth an underestimate
