"","Date","Boat.name","Gear.Type","Fishing.Location","Depth.m","effort","lat","lon"
"139","05-01-2019","5775679a","GillNet","Wayari",13.09,2,16.0465772,73.44375
"140","05-01-2019","21e4068b","GillNet","Wayari",13.09,1,16.0465772,73.44375
"141","05-01-2019","c5fb3ce4","GillNet","Wayari",26.18,0.5,16.0465772,73.3729166666667
"142","05-01-2019","416cf1e9","GillNet","Wayari",16.83,1,16.0465772,73.43125
"143","06-01-2019","e2d4d7d9","GillNet","Wayari",13.09,1,16.0465772,73.44375
"144","06-01-2019","73ee2648","GillNet","Wayari",18.7,0.5,16.0465772,73.41875
"145","07-01-2019","6422cff5","Trawler","Malvan",56.1,24,16.0630693,73.1520833333333
"146","09-01-2019","a7ecd847","GillNet","Wayari",28.05,1,16.0465772,73.35625
"147","09-01-2019","ba6de2fd","GillNet","Wayari",28.05,1,16.0465772,73.35625
"148","09-01-2019","93a19c89","GillNet","Wayari",28.05,1,16.0465772,73.35625
"149","09-01-2019","8dda9d71","GillNet","Wayari",29.92,1,16.0465772,73.3479166666667
"150","09-01-2019","1900c151","GillNet","Wayari",29.92,1,16.0465772,73.3479166666667
"151","09-01-2019","416cf1e9","GillNet","Wayari",28.05,1,16.0465772,73.35625
"152","13-01-2019","d193a291","GillNet","Wayari",16.83,1,16.0465772,73.43125
"153","15-01-2019","58aba555","Trawler","Devgad",33.66,18,16.3754203,73.19375
"154","15-01-2019","27a9a2c7","Trawler","Juva Pankhol",28.05,18,16.1120596,73.3520833333333
"155","17-01-2019","d04d70dc","GillNet","Wayari",22.44,1,16.0465772,73.39375
"156","17-01-2019","c75c7e31","GillNet","Wayari",28.05,1,16.0465772,73.35625
"157","18-01-2019","58aba555","Trawler","Juva Pankhol",18.7,18,16.1120596,73.40625
"158","18-01-2019","27a9a2c7","Trawler","Malvan - North",28.05,18,16.0630693,73.3479166666667
"159","20-01-2019","23cec32e","Trawler","Aachara",28.05,16,16.190837,73.3395833333333
"160","25-01-2019","3a493285","GillNet","Wayari",18.7,1,16.0465772,73.41875
"161","25-01-2019","603fde4f","GillNet","Tarkarli",14.96,1,16.0370463,73.43125
"162","25-01-2019","0999ec1a","GillNet","Moryacha dhonda",14.96,1,16.0434558,73.4354166666667
"163","30-01-2019","1a67b21e","GillNet","Wayari",18.7,3,16.0465772,73.41875
"164","31-01-2019","38c37d81","GillNet","Devbag",37.4,1,16.029932,73.29375
"165","31-01-2019","beee6cfe","GillNet","Nivati lighthouse",33.66,1,15.9446644,73.3354166666667
"166","31-01-2019","933b26e2","GillNet","Wayari",18.7,2,16.0465772,73.41875
"167","01-02-2019","f67af961","GillNet","Wayari",18.7,1,16.0465772,73.41875
"168","03-02-2019","91fb1645","GillNet","Talashil",13.09,1,16.100039,73.43125
"169","06-02-2019","c75c7e31","GillNet","Talashil",14.96,1,16.100039,73.4229166666667
"170","06-02-2019","2225aea3","GillNet","Wayari",9.35,1,16.0465772,73.4520833333333
"171","07-02-2019","21e4068b","GillNet","Moryacha dhonda",9.35,1,16.0434558,73.4520833333333
"172","13-02-2019","be7d8f1a","GillNet","Wayari",14.96,1,16.0465772,73.4354166666667
"173","15-02-2019","1900c151","GillNet","Wayari",18.7,0.45,16.0465772,73.41875
"174","18-02-2019","1900c151","GillNet","Tarkarli",18.7,1.5,16.0370463,73.41875
"175","18-02-2019","4e43e23a","Trawler","Aachara",41.14,24,16.190837,73.1895833333333
"176","18-02-2019","64c7ae7f","GillNet","Tarkarli",14.96,1.5,16.0370463,73.43125
"177","19-02-2019","be7d8f1a","GillNet","Tondavali",18.7,0.45,16.1646075,73.3895833333333
"178","19-02-2019","4e43e23a","Trawler","Malvan",41.14,8,16.0630693,73.2479166666667
"179","19-02-2019","004e0f35","Trawler","Juva Pankhol",41.14,6,16.1120596,73.2520833333333
"180","24-02-2019","a3d2afd1","GillNet","Wayari",18.7,1,16.0465772,73.41875
"181","25-02-2019","1900c151","GillNet","Wayari",18.7,1,16.0465772,73.41875
"182","26-02-2019","1900c151","GillNet","Tarkarli",7.48,1,16.0370463,73.4645833333333
"183","27-02-2019","ea364a9e","GillNet","Tarkarli",18.7,2.5,16.0370463,73.41875
"184","28-02-2019","1900c151","GillNet","Wayari",18.7,2.5,16.0465772,73.41875
"185","28-02-2019","8ba4e0d2","Trawler","Juva Pankhol",46.75,6,16.1120596,73.1979166666667
"186","02-03-2019","91fb1645","GillNet","Wayari",14.96,1,16.0465772,73.4354166666667
"187","10-03-2019","dd67f985","GillNet","Wayari",11.22,0.5,16.0465772,73.4479166666667
"188","10-03-2019","1900c151","GillNet","Wayari",13.09,1,16.0465772,73.44375
"189","10-03-2019","4e43e23a","Trawler","Nivati lighthouse",41.14,6,15.9446644,73.2520833333333
"190","12-03-2019","7d50df84","Trawler","Aachara",33.66,36,16.190837,73.26875
"191","12-03-2019","edc0fb6a","Trawler","Malvan",35.53,24,16.0630693,73.2979166666667
"192","12-03-2019","77dae807","Trawler","Malvan",28.05,27,16.0630693,73.3479166666667
"193","13-03-2019","6c8fa185","GillNet","Wayari",18.7,0.5,16.0465772,73.41875
"194","13-03-2019","d12c9e85","GillNet","Wayari",18.7,0.5,16.0465772,73.41875
"195","15-03-2019","1210bef0","GillNet","Wayari",9.35,1,16.0465772,73.4520833333333
"196","15-03-2019","1900c151","GillNet","Wayari",11.22,0.5,16.0465772,73.4479166666667
"197","15-03-2019","c8f67792","Trawler","Devbag",35.53,18,16.029932,73.3020833333333
"198","17-03-2019","345f1f1e","Trawler","Devbag",41.14,32,16.029932,73.2645833333333
"199","20-03-2019","230095af","Trawler","Malvan",37.4,18,16.0630693,73.28125
"200","22-03-2019","d3b9a451","Trawler","Devgad",22.44,18,16.3754203,73.30625
"201","24-03-2019","8ba4e0d2","Trawler","Juva Pankhol",37.4,18,16.1120596,73.2770833333333
"202","24-03-2019","9b19c0c1","Trawler","Juva Pankhol",28.05,24,16.1120596,73.3520833333333
"203","26-03-2019","631ac303","Trawler","Malvan",24.31,18,16.0630693,73.3854166666667
"204","26-03-2019","f93b4157","Trawler","Malvan",29.92,36,16.0630693,73.3395833333333
"205","03-04-2019","3a493285","GillNet","Wayari",31.79,1,16.0465772,73.30625
"206","03-04-2019","1900c151","GillNet","Tarkarli",7.48,0.25,16.0370463,73.4645833333333
"207","23-04-2019","d59f2292","Trawler","Juva Pankhol",29.92,18,16.1120596,73.29375
